"","Tournament","Team","League","Rank Score","tourn_id","search","Rank"
"108","LCS Proving Grounds Spring 2021","dig-academy",NA,"0.8071595698277597","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",108
"109","LCS Proving Grounds Spring 2021","tsm-academy",NA,"0.6778164934782132","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",109
"110","LCS Proving Grounds Spring 2021","clg-academy",NA,"0.5335430701990619","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",110
"111","LCS Proving Grounds Spring 2021","imt-academy",NA,"0.5029061664022776","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",111
"112","LCS Proving Grounds Spring 2021","c9-academy",NA,"0.4792344886322842","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",112
"113","LCS Proving Grounds Spring 2021","tl-academy","north_american_challenger_league","0.4482559479014691","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",113
"114","LCS Proving Grounds Spring 2021","fly-academy","north_american_challenger_league","0.3362467538531168","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",114
"115","LCS Proving Grounds Spring 2021","gg-academy",NA,"0.1826300465807617","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",115
"116","LCS Proving Grounds Spring 2021","dignitas-mirage",NA,"0.013033318259577856","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",116
"117","LCS Proving Grounds Spring 2021","eg-academy","north_american_challenger_league","0","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",117
"118","LCS Proving Grounds Spring 2022","c9-academy",NA,"1","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",118
"119","LCS Proving Grounds Spring 2022","eg-academy","north_american_challenger_league","0.7371499890204009","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",119
"120","LCS Proving Grounds Spring 2022","fly-academy","north_american_challenger_league","0.6511150323056863","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",120
"121","LCS Proving Grounds Spring 2022","clg-academy",NA,"0.5596879506116185","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",121
"122","LCS Proving Grounds Spring 2022","dig-academy",NA,"0.4863954133589496","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",122
"123","LCS Proving Grounds Spring 2022","gg-academy",NA,"0.47389921021917636","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",123
"124","LCS Proving Grounds Spring 2022","100-academy",NA,"0.4139571720137657","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",124
"125","LCS Proving Grounds Spring 2022","tl-academy","north_american_challenger_league","0.3536639316535189","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",125
"126","LCS Proving Grounds Spring 2022","maryville-saints",NA,"0.11757466176258446","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",126
"127","LCS Proving Grounds Spring 2022","imt-academy",NA,"0.059656145677159746","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",127
"128","LCS Proving Grounds Spring 2022","tsm-academy",NA,"0","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",128
"129","LCS Proving Grounds Summer 2021","c9-academy",NA,"1","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",129
"130","LCS Proving Grounds Summer 2021","eg-academy","north_american_challenger_league","0.9898397828345378","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",130
"131","LCS Proving Grounds Summer 2021","supernova","north_american_challenger_league","0.9280440536677638","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",131
"132","LCS Proving Grounds Summer 2021","fly-academy","north_american_challenger_league","0.9184462583146349","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",132
"133","LCS Proving Grounds Summer 2021","tl-academy","north_american_challenger_league","0.8755520736270131","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",133
"134","LCS Proving Grounds Summer 2021","tsm-academy",NA,"0.7520012580657168","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",134
"135","LCS Proving Grounds Summer 2021","100-academy",NA,"0.7386739244310776","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",135
"136","LCS Proving Grounds Summer 2021","imt-academy",NA,"0.5770466483681912","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",136
"137","LCS Proving Grounds Summer 2021","gg-academy",NA,"0.4514322390203531","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",137
"138","LCS Proving Grounds Summer 2021","dig-academy",NA,"0","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",138
"139","LCS Proving Grounds Summer 2022","tl-academy","north_american_challenger_league","1","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",139
"140","LCS Proving Grounds Summer 2022","maryville-university","north_american_challenger_league","0.7046632878602364","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",140
"141","LCS Proving Grounds Summer 2022","100-next",NA,"0.6912806982675826","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",141
"142","LCS Proving Grounds Summer 2022","100-academy",NA,"0.6275832726802892","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",142
"143","LCS Proving Grounds Summer 2022","aoe-esports","north_american_challenger_league","0.605934998403512","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",143
"144","LCS Proving Grounds Summer 2022","eg-academy","north_american_challenger_league","0.5938133611806948","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",144
"145","LCS Proving Grounds Summer 2022","c9-academy",NA,"0.5195186269319736","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",145
"146","LCS Proving Grounds Summer 2022","dig-academy",NA,"0.49282256421519416","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",146
"147","LCS Proving Grounds Summer 2022","aoe-ginger-turmeric",NA,"0.4562777658004904","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",147
"148","LCS Proving Grounds Summer 2022","taco-gaming",NA,"0.45502053861294384","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",148
"149","LCS Proving Grounds Summer 2022","cincinnati-fear","north_american_challenger_league","0.44556972561679403","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",149
"150","LCS Proving Grounds Summer 2022","fly-academy","north_american_challenger_league","0.41386527461443673","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",150
