tournament,team,league,rank,tourn_id
MSI 2022,red-kalunga,cblol-brazil,0.43139317427145324,107905284983470149
MSI 2022,team-aze,lla,0.4049807158668149,107905284983470149
MSI 2022,detonation-focusme,ljl-japan,0.1111543497602917,107905284983470149
MSI 2022,psg-talon,pcs,0,107905284983470149
MSI 2023,t1,lck,1.3420882891799348,110198981276611770
MSI 2023,psg-talon,pcs,1.2,110198981276611770
MSI 2023,cloud9,lcs,0.9313400544198569,110198981276611770
MSI 2023,geng,lck,0.7458559154289319,110198981276611770
MSI 2023,loud,cblol-brazil,0.6136449372057101,110198981276611770
MSI 2023,mad-lions,lec,0.5633502376923529,110198981276611770
MSI 2023,gam-esports,vcs,0.4098326448989503,110198981276611770
MSI 2023,detonation-focusme,ljl-japan,0.34903985775043445,110198981276611770
MSI 2023,rainbow7,lla,0.095928411325234,110198981276611770
MSI 2023,golden-guardians,lcs,0.01072455951540316,110198981276611770
MSI 2023,g2-esports,lec,0,110198981276611770
Main Stage - Spring 2023,geekay-esports,arabian_league,1,110016463793610620
Main Stage - Spring 2023,zero-tenacity,ultraliga,0.8176135080757626,110016463793610620
Main Stage - Spring 2023,macko-esports,pg_nationals,0.5268316856571416,110016463793610620
Main Stage - Spring 2023,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.4984453756331054,110016463793610620
Main Stage - Spring 2023,unicorns-of-love-sexy-edition,primeleague,0.4309180847709607,110016463793610620
Main Stage - Spring 2023,ldlc-ol,lfl,0.4301000935499574,110016463793610620
Main Stage - Spring 2023,movistar-riders,superliga,0.4131994061469385,110016463793610620
Main Stage - Spring 2023,szaty-bobra,ultraliga,0.2804313473903808,110016463793610620
Main Stage - Spring 2023,esuba,hitpoint_masters,0.2453692021990609,110016463793610620
Main Stage - Spring 2023,team-heretics-sl,superliga,0.1728894707575335,110016463793610620
Main Stage - Spring 2023,riddle,NA,0.15287617374557932,110016463793610620
Main Stage - Spring 2023,aegis,lfl,0.126102134717553,110016463793610620
Main Stage - Spring 2023,anorthosis-famagusta-esports,greek_legends,0.11496875819526055,110016463793610620
Main Stage - Spring 2023,gamersorigin,lfl,0.08838671791932838,110016463793610620
Main Stage - Spring 2023,fut-team,turkiye-sampiyonluk-ligi,0.06823883102670861,110016463793610620
Main Stage - Spring 2023,sk-gaming-prime,primeleague,0,110016463793610620
Master Flow League Closing 2022,boca-juniors-gaming,NA,1,108285990202003321
Master Flow League Closing 2022,leviatan-esports,lla,0.8663691288805117,108285990202003321
Master Flow League Closing 2022,pampas,NA,0.7471950654963974,108285990202003321
Master Flow League Closing 2022,ebro-gaming,south_regional_league,0.6495007005396889,108285990202003321
Master Flow League Closing 2022,river-plate-gaming,NA,0.5328001072389614,108285990202003321
Master Flow League Closing 2022,undead-bk,south_regional_league,0.24039576364782983,108285990202003321
Master Flow League Closing 2022,9z-gaming,NA,0.007999781166340649,108285990202003321
Master Flow League Closing 2022,stone-movistar,NA,0,108285990202003321
Midseason Cup 2020,t1,lck,1,104242514778317753
Midseason Cup 2020,top-esports,lpl,0.9823072044950103,104242514778317753
Midseason Cup 2020,dwg-kia,lck,0.6429180477452262,104242514778317753
Midseason Cup 2020,geng,lck,0.49189718372235897,104242514778317753
Midseason Cup 2020,funplus-phoenix,lpl,0.4876390392016144,104242514778317753
Midseason Cup 2020,drx,lck,0,104242514778317753
Play Ins - Spring 2023,geekay-esports,arabian_league,1,110016413865287161
Play Ins - Spring 2023,gtz-bulls,liga_portuguesa,0.8605683781457593,110016413865287161
Play Ins - Spring 2023,we-love-gaming,greek_legends,0.4524851760893603,110016413865287161
Play Ins - Spring 2023,krc-genk-esports,elite_series,0.44357479047834414,110016413865287161
Play Ins - Spring 2023,partizan-esports,esports_balkan_league,0.36768708829235736,110016413865287161
Play Ins - Spring 2023,raad,arabian_league,0.35848318706330046,110016413865287161
Play Ins - Spring 2023,aegis,lfl,0.335450946218372,110016413865287161
Play Ins - Spring 2023,verdant,nlc,0.33260297284217993,110016413865287161
Play Ins - Spring 2023,white-dragons,liga_portuguesa,0.2714310636770608,110016413865287161
Play Ins - Spring 2023,entropiq,hitpoint_masters,0.2524130027101276,110016413865287161
Play Ins - Spring 2023,team-7am,elite_series,0.2511565113856083,110016413865287161
Play Ins - Spring 2023,diamant-esports,esports_balkan_league,0.23111117562333208,110016413865287161
Play Ins - Spring 2023,anorthosis-famagusta-esports,greek_legends,0.20577458861478468,110016413865287161
Play Ins - Spring 2023,anc-outplayed,pg_nationals,0.13068713869460097,110016413865287161
Play Ins - Spring 2023,papara-supermassive-blaze,turkiye-sampiyonluk-ligi,0.07467244851250356,110016413865287161
Play Ins - Spring 2023,esuba,hitpoint_masters,0,110016413865287161
Playoffs - Spring 2023,psg-talon,pcs,1,110017385374098523
Playoffs - Spring 2023,mega-bank-beyond-gaming,pcs,0.760009568161784,110017385374098523
Playoffs - Spring 2023,frank-esports,pcs,0.590433242009303,110017385374098523
Playoffs - Spring 2023,the-chiefs,lco,0.31001628786084323,110017385374098523
Playoffs - Spring 2023,impunity-esports,pcs,0.27798392686232726,110017385374098523
Playoffs - Spring 2023,team-bliss,lco,0.26789522974091867,110017385374098523
Playoffs - Spring 2023,ctbc-flying-oyster,pcs,0.25707047709517233,110017385374098523
Playoffs - Spring 2023,deep-cross-gaming,pcs,0,110017385374098523
Playoffs - Summer 2023,psg-talon,pcs,1,110847340080101648
Playoffs - Summer 2023,team-bliss,lco,0.7416025325059167,110847340080101648
Playoffs - Summer 2023,mega-bank-beyond-gaming,pcs,0.7140670674660827,110847340080101648
Playoffs - Summer 2023,the-chiefs,lco,0.6053261151987706,110847340080101648
Playoffs - Summer 2023,taipei-j-team,pcs,0.5925784102050501,110847340080101648
Playoffs - Summer 2023,deep-cross-gaming,pcs,0.30726730200373736,110847340080101648
Playoffs - Summer 2023,ctbc-flying-oyster,pcs,0.10466105793984591,110847340080101648
Playoffs - Summer 2023,frank-esports,pcs,0,110847340080101648
Promotion Spring 2023,maryville-university,north_american_challenger_league,1,110138704782649096
Promotion Spring 2023,aoe-esports,north_american_challenger_league,0.6905316829604521,110138704782649096
Promotion Spring 2023,team-fish-taco,north_american_challenger_league,0.5714669049586288,110138704782649096
Promotion Spring 2023,douyin-tony-top,NA,0.5303662241460332,110138704782649096
Promotion Spring 2023,fly-fam,NA,0.4808066530097663,110138704782649096
Promotion Spring 2023,supernova,north_american_challenger_league,0.4014320789696633,110138704782649096
Promotion Spring 2023,team-liquid-honda-first,NA,0.18764727787808813,110138704782649096
Promotion Spring 2023,the-last-dance,NA,0,110138704782649096
Regional Finals 2023,edward-gaming,lpl,1,110825936250664572
Regional Finals 2023,weibo-gaming,lpl,0.9789982637584418,110825936250664572
Regional Finals 2023,lng-esports,lpl,0.8518028443726939,110825936250664572
