tournament,team,league,rank
MSI 2023,detonation-focusme,ljl-japan,0.34903985775043445
MSI 2023,rainbow7,lla,0.095928411325234
MSI 2023,golden-guardians,lcs,0.01072455951540316
MSI 2023,g2-esports,lec,0
Main Stage - Spring 2023,geekay-esports,arabian_league,1
Main Stage - Spring 2023,zero-tenacity,ultraliga,0.8176135080757626
Main Stage - Spring 2023,macko-esports,pg_nationals,0.5268316856571416
Main Stage - Spring 2023,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.4984453756331054
Main Stage - Spring 2023,unicorns-of-love-sexy-edition,primeleague,0.4309180847709607
Main Stage - Spring 2023,ldlc-ol,lfl,0.4301000935499574
Main Stage - Spring 2023,movistar-riders,superliga,0.4131994061469385
Main Stage - Spring 2023,szaty-bobra,ultraliga,0.2804313473903808
Main Stage - Spring 2023,esuba,hitpoint_masters,0.2453692021990609
Main Stage - Spring 2023,team-heretics-sl,superliga,0.1728894707575335
Main Stage - Spring 2023,riddle,NA,0.15287617374557932
Main Stage - Spring 2023,aegis,lfl,0.126102134717553
Main Stage - Spring 2023,anorthosis-famagusta-esports,greek_legends,0.11496875819526055
Main Stage - Spring 2023,gamersorigin,lfl,0.08838671791932838
Main Stage - Spring 2023,fut-team,turkiye-sampiyonluk-ligi,0.06823883102670861
Main Stage - Spring 2023,sk-gaming-prime,primeleague,0
Master Flow League Closing 2022,boca-juniors-gaming,NA,1
Master Flow League Closing 2022,leviatan-esports,lla,0.8663691288805117
Master Flow League Closing 2022,pampas,NA,0.7471950654963974
Master Flow League Closing 2022,ebro-gaming,south_regional_league,0.6495007005396889
Master Flow League Closing 2022,river-plate-gaming,NA,0.5328001072389614
Master Flow League Closing 2022,undead-bk,south_regional_league,0.24039576364782983
Master Flow League Closing 2022,9z-gaming,NA,0.007999781166340649
Master Flow League Closing 2022,stone-movistar,NA,0
Midseason Cup 2020,t1,lck,1
Midseason Cup 2020,top-esports,lpl,0.9823072044950103
Midseason Cup 2020,dwg-kia,lck,0.6429180477452262
Midseason Cup 2020,geng,lck,0.49189718372235897
Midseason Cup 2020,funplus-phoenix,lpl,0.4876390392016144
Midseason Cup 2020,drx,lck,0
Play Ins - Spring 2023,geekay-esports,arabian_league,1
Play Ins - Spring 2023,gtz-bulls,liga_portuguesa,0.8605683781457593
Play Ins - Spring 2023,we-love-gaming,greek_legends,0.4524851760893603
Play Ins - Spring 2023,krc-genk-esports,elite_series,0.44357479047834414
Play Ins - Spring 2023,partizan-esports,esports_balkan_league,0.36768708829235736
Play Ins - Spring 2023,raad,arabian_league,0.35848318706330046
Play Ins - Spring 2023,aegis,lfl,0.335450946218372
Play Ins - Spring 2023,verdant,nlc,0.33260297284217993
Play Ins - Spring 2023,white-dragons,liga_portuguesa,0.2714310636770608
Play Ins - Spring 2023,entropiq,hitpoint_masters,0.2524130027101276
Play Ins - Spring 2023,team-7am,elite_series,0.2511565113856083
Play Ins - Spring 2023,diamant-esports,esports_balkan_league,0.23111117562333208
Play Ins - Spring 2023,anorthosis-famagusta-esports,greek_legends,0.20577458861478468
Play Ins - Spring 2023,anc-outplayed,pg_nationals,0.13068713869460097
Play Ins - Spring 2023,papara-supermassive-blaze,turkiye-sampiyonluk-ligi,0.07467244851250356
Play Ins - Spring 2023,esuba,hitpoint_masters,0
Playoffs - Spring 2023,psg-talon,pcs,1
Playoffs - Spring 2023,mega-bank-beyond-gaming,pcs,0.760009568161784
Playoffs - Spring 2023,frank-esports,pcs,0.590433242009303
Playoffs - Spring 2023,the-chiefs,lco,0.31001628786084323
Playoffs - Spring 2023,impunity-esports,pcs,0.27798392686232726
Playoffs - Spring 2023,team-bliss,lco,0.26789522974091867
Playoffs - Spring 2023,ctbc-flying-oyster,pcs,0.25707047709517233
Playoffs - Spring 2023,deep-cross-gaming,pcs,0
Playoffs - Summer 2023,psg-talon,pcs,1
Playoffs - Summer 2023,team-bliss,lco,0.7416025325059167
Playoffs - Summer 2023,mega-bank-beyond-gaming,pcs,0.7140670674660827
Playoffs - Summer 2023,the-chiefs,lco,0.6053261151987706
Playoffs - Summer 2023,taipei-j-team,pcs,0.5925784102050501
Playoffs - Summer 2023,deep-cross-gaming,pcs,0.30726730200373736
Playoffs - Summer 2023,ctbc-flying-oyster,pcs,0.10466105793984591
Playoffs - Summer 2023,frank-esports,pcs,0
Promotion Spring 2023,maryville-university,north_american_challenger_league,1
Promotion Spring 2023,aoe-esports,north_american_challenger_league,0.6905316829604521
Promotion Spring 2023,team-fish-taco,north_american_challenger_league,0.5714669049586288
Promotion Spring 2023,douyin-tony-top,NA,0.5303662241460332
Promotion Spring 2023,fly-fam,NA,0.4808066530097663
Promotion Spring 2023,supernova,north_american_challenger_league,0.4014320789696633
Promotion Spring 2023,team-liquid-honda-first,NA,0.18764727787808813
Promotion Spring 2023,the-last-dance,NA,0
Regional Finals 2023,edward-gaming,lpl,1
Regional Finals 2023,weibo-gaming,lpl,0.9789982637584418
Regional Finals 2023,lng-esports,lpl,0.8518028443726939
Regional Finals 2023,top-esports,lpl,0
Season Finals 2023,g2-esports,lec,1
Season Finals 2023,excel,lec,0.6444707314031065
Season Finals 2023,sk-gaming,lec,0.5836600488999051
Season Finals 2023,team-bds,lec,0.5177962007380439
Season Finals 2023,fnatic,lec,0.503058637730314
Season Finals 2023,mad-lions,lec,0
Spring 2022 Main Event,ago-rogue,NA,1
Spring 2022 Main Event,atleta-esport,pg_nationals,0.6807569817779875
Spring 2022 Main Event,eintracht-spandau,primeleague,0.5960190304777725
Spring 2022 Main Event,fnatictq,superliga,0.5910221200260836
Spring 2022 Main Event,ldlc-ol,lfl,0.5573792632799355
Spring 2022 Main Event,crvena-zvezda-esports,esports_balkan_league,0.4495908242499197
Spring 2022 Main Event,team-esca-gaming,ultraliga,0.4368108910554616
Spring 2022 Main Event,gamerlegion,primeleague,0.34149596119512393
Spring 2022 Main Event,team-phantasma,greek_legends,0.33563865876714927
Spring 2022 Main Event,team-bds-academy,lfl,0.3147435461469783
Spring 2022 Main Event,bisons-eclub,superliga,0.27143732286906064
Spring 2022 Main Event,bifrost,NA,0.2307750178474443
Spring 2022 Main Event,x7,NA,0.1898740292537171
Spring 2022 Main Event,vitalitybee,lfl,0.1335763602636833
Spring 2022 Main Event,unicorns-of-love-sexy-edition,primeleague,0.0751426900841674
Spring 2022 Main Event,karmine-corp,lfl,0
Spring 2022 Play Ins,for-the-win-esports,liga_portuguesa,1
Spring 2022 Play Ins,macko-esports,pg_nationals,0.8691307522453421
Spring 2022 Play Ins,entropiq,hitpoint_masters,0.8316391588030381
Spring 2022 Play Ins,egn-esports,liga_portuguesa,0.7467652227789139
Spring 2022 Play Ins,bifrost,NA,0.6419721765664803
Spring 2022 Play Ins,zero-tenacity,ultraliga,0.604807368288432
Spring 2022 Play Ins,we-love-gaming,greek_legends,0.5996606729633382
Spring 2022 Play Ins,barca-esports,superliga,0.5883502656043466
Spring 2022 Play Ins,valiance-pro-game,esports_balkan_league,0.5653061947950333
Spring 2022 Play Ins,karmine-corp,lfl,0.5247684639443045
Spring 2022 Play Ins,mcon-lg-ultragear,elite_series,0.4949414338730409
Spring 2022 Play Ins,krc-genk-esports,elite_series,0.46810821821351306
Spring 2022 Play Ins,topo-centras-iron-wolves,ultraliga,0.2851749479024145
Spring 2022 Play Ins,esuba,hitpoint_masters,0.2700388588017345
Spring 2022 Play Ins,vitalitybee,lfl,0.252035841694583
Spring 2022 Play Ins,unicorns-of-love-sexy-edition,primeleague,0
Spring 2023,g2-esports,lec,1
Spring 2023,team-heretics-lec,lec,0.8646310949754337
Spring 2023,team-bds,lec,0.8292357660772228
Spring 2023,team-vitality,lec,0.7201394640639414
Spring 2023,sk-gaming,lec,0.6962373831593297
Spring 2023,mad-lions,lec,0.5724534703204555
Spring 2023,rogue,lec,0.5065593238371848
Spring 2023,excel,lec,0.36124584176330565
Spring 2023,astralis,lec,0.23904845566597946
Spring 2023,fnatic,lec,0
Summer 2022 Main Event,x7,NA,1
Summer 2022 Main Event,ago-rogue,NA,0.9911120517461565
Summer 2022 Main Event,sk-gaming-prime,primeleague,0.9672450757204156
Summer 2022 Main Event,schalke-04,primeleague,0.9583678657189165
Summer 2022 Main Event,ldlc-ol,lfl,0.7758684776393271
Summer 2022 Main Event,team-bds-academy,lfl,0.7749189883480601
Summer 2022 Main Event,giants,superliga,0.7394572148494477
Summer 2022 Main Event,zero-tenacity,ultraliga,0.5856059139061297
Summer 2022 Main Event,team-heretics-sl,superliga,0.5708709509469456
Summer 2022 Main Event,dusty,NA,0.5399322611992772
Summer 2022 Main Event,gameward,lfl,0.418403244806342
Summer 2022 Main Event,anorthosis-famagusta-esports,greek_legends,0.33365925374708866
Summer 2022 Main Event,macko-esports,pg_nationals,0.22092242890530836
Summer 2022 Main Event,valiance-pro-game,esports_balkan_league,0.19514950957138563
Summer 2022 Main Event,vitalitybee,lfl,0.19030886301846225
Summer 2022 Main Event,unicorns-of-love-sexy-edition,primeleague,0
Summer 2022 Play Ins,krc-genk-esports,elite_series,1
Summer 2022 Play Ins,team-phantasma,greek_legends,0.8809520249794484
Summer 2022 Play Ins,for-the-win-esports,liga_portuguesa,0.877507015120964
Summer 2022 Play Ins,white-dragons,liga_portuguesa,0.7658712418840132
Summer 2022 Play Ins,anc-outplayed,pg_nationals,0.7159293585820623
Summer 2022 Play Ins,vitalitybee,lfl,0.6838769427278036
Summer 2022 Play Ins,entropiq,hitpoint_masters,0.6363507453342523
Summer 2022 Play Ins,crvena-zvezda-esports,esports_balkan_league,0.6345254617104422
Summer 2022 Play Ins,anorthosis-famagusta-esports,greek_legends,0.630490097191474
Summer 2022 Play Ins,esuba,hitpoint_masters,0.5861567965632075
Summer 2022 Play Ins,echo-zulu,NA,0.4927002530956006
Summer 2022 Play Ins,illuminar-gaming,ultraliga,0.46094308299874764
Summer 2022 Play Ins,sk-gaming-prime,primeleague,0.4237292580224681
Summer 2022 Play Ins,gameward,lfl,0.35683506511293767
Summer 2022 Play Ins,bisons-eclub,superliga,0.26684222797429097
Summer 2022 Play Ins,jdxl,NA,0
Summer 2023,sk-gaming-prime,primeleague,1
Summer 2023,maryville-university,north_american_challenger_league,1
Summer 2023,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.9327120933274443
Summer 2023,macko-esports,pg_nationals,0.8498516296528037
Summer 2023,karmine-corp,lfl,0.8446885599997722
Summer 2023,supernova,north_american_challenger_league,0.823688975548015
Summer 2023,entropiq,hitpoint_masters,0.8075277606316138
Summer 2023,szaty-bobra,ultraliga,0.7974953294825
Summer 2023,diamant-esports,esports_balkan_league,0.7968731939011987
Summer 2023,nativz,nlc,0.6507226591057914
Summer 2023,bkrog-gamerorigin,lfl,0.6268897303165603
Summer 2023,gtz-bulls,liga_portuguesa,0.6138137779758739
Summer 2023,movistar-riders,superliga,0.6070415063207119
Summer 2023,nord-esports,nlc,0.5543986663142327
Summer 2023,fut-team,turkiye-sampiyonluk-ligi,0.54116661875801
Summer 2023,krc-genk-esports,elite_series,0.5080509568330228
Summer 2023,team-7am,elite_series,0.49336179994123613
Summer 2023,anubis-gaming,arabian_league,0.47414355996757035
Summer 2023,anorthosis-famagusta-esports,greek_legends,0.4640660530866164
Summer 2023,we-love-gaming,greek_legends,0.4515485600418639
Summer 2023,aoe-esports,north_american_challenger_league,0.42853539293745413
Summer 2023,unicorns-of-love-sexy-edition,primeleague,0.38221842192134986
Summer 2023,bisons-eclub,superliga,0.3454988549436061
Summer 2023,nigma-galaxy,arabian_league,0.30845500374379653
Summer 2023,alior-bank-team,ultraliga,0.27021559492995506
Summer 2023,gamersorigin,lfl,0.2580146298506978
Summer 2023,partizan-esports,esports_balkan_league,0.2579502993885866
Summer 2023,dsyre,pg_nationals,0.1775858282803384
Summer 2023,white-dragons,liga_portuguesa,0.08382376877440458
Summer 2023,nasr-esports,turkiye-sampiyonluk-ligi,0.040409818288082974
Summer 2023,brute,hitpoint_masters,0
Summer 2023,team-fish-taco,north_american_challenger_league,0
TCL Summer 2020,royal-bandits-e-sports,NA,1
TCL Summer 2020,fenerbahce-espor,NA,0.9735426940786304
TCL Summer 2020,galatasaray-espor,NA,0.932305457703201
TCL Summer 2020,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.7563670367311249
TCL Summer 2020,galakticos,turkiye-sampiyonluk-ligi,0.7486914765275839
TCL Summer 2020,info-yatrm-aurora,NA,0.5832363229673321
TCL Summer 2020,5-ronin,NA,0.5204933224140272
TCL Summer 2020,papara-supermassive-blaze,turkiye-sampiyonluk-ligi,0.45292908444741686
TCL Summer 2020,dark-passage,turkiye-sampiyonluk-ligi,0.26306325725179636
TCL Summer 2020,besiktas,turkiye-sampiyonluk-ligi,0
TCL Summer 2022,fastpay-wildcats,turkiye-sampiyonluk-ligi,1
TCL Summer 2022,nasr-esports,turkiye-sampiyonluk-ligi,0.8513879365688698
TCL Summer 2022,fenerbahce-espor,NA,0.5368173864827132
TCL Summer 2022,papara-supermassive-blaze,turkiye-sampiyonluk-ligi,0.39702769919309167
TCL Summer 2022,5-ronin,NA,0.3956231458439603
TCL Summer 2022,galatasaray-espor,NA,0.32895993866090645
TCL Summer 2022,info-yatrm-aurora,NA,0.3226241060087695
TCL Summer 2022,dark-passage,turkiye-sampiyonluk-ligi,0.20009902060330004
TCL Summer 2022,besiktas,turkiye-sampiyonluk-ligi,0.12352950150639395
TCL Summer 2022,galakticos,turkiye-sampiyonluk-ligi,0
Worlds 2022,geng,lck,1.3046998020311316
Worlds 2022,ctbc-flying-oyster,pcs,1.2
Worlds 2022,cloud9,lcs,1.069256084574812
Worlds 2022,loud,cblol-brazil,1.0077737055060123
Worlds 2022,g2-esports,lec,1.0044710890802635
Worlds 2022,dwg-kia,lck,0.9366785706514501
Worlds 2022,detonation-focusme,ljl-japan,0.8847393867897867
Worlds 2022,the-chiefs,lco,0.8832370826248388
Worlds 2022,rogue,lec,0.8278826765572623
Worlds 2022,fnatic,lec,0.7651041748456717
Worlds 2022,evil-geniuses,lcs,0.7616701902771292
Worlds 2022,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.7340160234231757
Worlds 2022,isurus,lla,0.6034304790518319
Worlds 2022,drx,lck,0.5021076119103915
Worlds 2022,mad-lions,lec,0.4250355729136658
Worlds 2022,mega-bank-beyond-gaming,pcs,0.38109875735457016
Worlds 2022,t1,lck,0.08768290009049333
Worlds 2022,100-thieves,lcs,0
european_masters_spring_2021_main_event,karmine-corp,lfl,1
european_masters_spring_2021_main_event,ucam-esports-club,superliga,0.8307133557544873
european_masters_spring_2021_main_event,anorthosis-famagusta-esports,greek_legends,0.7600297422846786
european_masters_spring_2021_main_event,jdxl,NA,0.7084035249382951
european_masters_spring_2021_main_event,ago-rogue,NA,0.7059086561006658
european_masters_spring_2021_main_event,suppup-esports,NA,0.6740357450974596
european_masters_spring_2021_main_event,mousesports,primeleague,0.5375713774834197
european_masters_spring_2021_main_event,misfits-premier,NA,0.3955678586410503
